Time,Time Code,Country Name,Country Code,Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at age 60, female (years) [SP.DYN.LE60.FE.IN]","Life expectancy at age 60, male (years) [SP.DYN.LE60.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 15-19, male [SP.POP.1519.MA]","Population ages 15-19, female [SP.POP.1519.FE]","Population ages 20-24, female [SP.POP.2024.FE]","Population ages 20-24, male [SP.POP.2024.MA]","Population ages 25-29, female [SP.POP.2529.FE]","Population ages 25-29, male [SP.POP.2529.MA]","Population ages 30-34, female [SP.POP.3034.FE]","Population ages 30-34, male [SP.POP.3034.MA]","Population ages 35-39, female [SP.POP.3539.FE]","Population ages 35-39, male [SP.POP.3539.MA]","Population ages 40-44, female [SP.POP.4044.FE]","Population ages 40-44, male [SP.POP.4044.MA]","Population ages 45-49, female [SP.POP.4549.FE]","Population ages 45-49, male [SP.POP.4549.MA]","Population ages 50-54, female [SP.POP.5054.FE]","Population ages 50-54, male [SP.POP.5054.MA]","Population ages 55-59, female [SP.POP.5559.FE]","Population ages 55-59, male [SP.POP.5559.MA]","Population ages 60-64, female [SP.POP.6064.FE]","Population ages 60-64, male [SP.POP.6064.MA]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"Rural population, female (% of total) [SP.RUR.TOTL.FE.ZS]","Rural population, male (% of total) [SP.RUR.TOTL.MA.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Urban population, female (% of total) [SP.URB.TOTL.FE.ZS]","Urban population, male (% of total) [SP.URB.TOTL.MA.ZS]"
1974,YR1974,Austria,AUT,..,1.91,..,..,74.7,67.5,876843,916280,288099,278622,256727,262952,248920,262922,279903,292828,209154,219787,214876,223111,244379,217333,271660,192590,172813,123132,253442,180922,14.6300452525497,697729,414014,4005068,3593970,7599038,34.669,..,..,65.331,..,..
1974,YR1974,Belgium,BEL,..,1.83,..,..,75.31,68.82,1080402,1131332,391977,377057,356685,372496,343546,359397,274479,283156,298459,301552,322371,322125,322116,317146,318601,307383,211979,197125,280726,246027,13.878680359536,806985,549298,4993406,4779013,9772419,5.642,..,..,94.358,..,..
1974,YR1974,Canada,CAN,..,1.837,..,..,76.91,69.74,2999281,3145893,1176515,1135140,1045166,1063072,946144,970123,750823,783659,634682,661548,630185,661642,627579,631719,606015,583912,501059,479363,446644,423674,8.34853337864196,1063331,840799,11386049,11421920,22807969,24.269,..,..,75.731,..,..
1974,YR1974,Chile,CHL,..,3.293,..,..,67.644,62.261,1885781,1927170,570443,563268,489350,496032,401316,407556,327166,337488,291831,298199,279223,281237,263634,261420,201658,192986,162207,149304,135769,118344,4.11891134920431,244567,186796,5245766,5226977,10472743,22.222,..,..,77.778,..,..
1974,YR1974,Colombia,COL,..,4.527,..,..,65.929,61.354,4942703,5108180,1368966,1335199,1074794,1096754,833718,834094,658137,650130,533114,521144,459691,445058,389047,374356,318462,303633,261925,245540,221682,201343,3.14526628142123,411445,308753,11439917,11457953,22897871,40.393,..,..,59.607,..,..
1974,YR1974,Costa Rica,CRI,..,3.893,..,..,71.028,66.09,418201,429423,118953,116123,94714,96355,76998,78734,61841,62593,53222,53344,45897,45213,39197,38687,31113,31308,24810,25497,20702,21304,3.59560409875352,37435,36570,1020256,1037979,2058235,58.998,..,..,41.002,..,..
1974,YR1974,Czechia,CZE,..,2.46,..,..,73.59,66.75,1053260,1108132,383316,366296,414205,430113,416614,428743,333893,340183,272467,271214,308807,302703,333840,310808,342233,307292,202598,177276,322771,273308,12.8987618843869,785405,502982,5152390,4836069,9988459,31.206,..,..,68.794,..,..
1974,YR1974,Denmark,DNK,..,1.9,..,..,76.82,70.94,562207,589069,189196,180483,183498,192645,206066,217756,172363,179850,146343,149078,138539,137809,144238,141557,153283,147883,141434,134966,141721,130793,13.1711026313816,377658,286863,2547832,2497465,5045297,18.317,..,..,81.683,..,..
1974,YR1974,Estonia,EST,..,2.07,..,..,74.799,65.583,150749,158390,55877,52164,52810,57117,48696,50380,49816,49534,55610,53255,54500,50200,55995,44502,46415,29885,34578,23031,44279,26672,12.2490204423571,120075,53636,765689,652480,1418169,32.931,..,..,67.069,..,..
1974,YR1974,Finland,FIN,..,1.61,..,..,75.55,66.93,514494,536378,206768,198473,207881,219618,211804,224546,150090,156531,142478,146367,139296,140646,146589,140418,144321,118846,128173,98492,134636,100521,10.3016026176742,304375,178829,2422612,2267962,4690574,32.981,..,..,67.019,..,..
1974,YR1974,France,FRA,..,2.18,..,..,76.6,68.8,6284832,6576698,2149824,2092686,2132826,2195126,1990425,2112315,1455346,1561102,1558171,1635289,1688495,1741423,1674654,1675082,1634395,1557754,962298,880133,1443599,1247631,13.4140481844488,4391134,2774013,27308859,26106391,53415250,27.35,..,..,72.65,..,..
1974,YR1974,Germany,DEU,..,1.51,..,..,74.593,68.396,8509311,8937219,2918716,2779040,2714464,2792642,2305473,2439547,2897032,3106368,2941432,3147698,2369899,2497252,2540602,2249948,2728894,1888212,1817271,1228546,2753656,1845967,14.6367214615759,7213194,4345049,41570269,37397163,78967433,27.497,..,..,72.503,..,..
1974,YR1974,Greece,GRC,..,2.38,..,..,75.911,71.039,1060755,1121348,306608,335035,300732,241851,301511,280591,279245,264500,330638,313513,340296,334256,321231,318505,256808,242061,231952,215655,244842,225252,12.2164149722883,605814,489024,4608859,4353163,8962022,33.552,..,..,66.448,..,..
1974,YR1974,Hungary,HUN,..,2.27,..,..,72.27,66.37,1023096,1084771,437661,415843,435158,451351,377036,385994,361745,359726,343865,322014,362553,345616,373524,347394,376667,329371,225462,192082,338105,281983,12.4796052227077,768519,539184,5401573,5077147,10478720,38.19,..,..,61.81,..,..
1974,YR1974,Iceland,ISL,..,2.66,..,..,78.01,71.18,32219,33799,11286,10718,9211,9981,7816,8472,6229,6350,5401,5478,5705,5884,5303,5562,4967,5070,4355,4282,3924,3718,9.05212257468146,10622,8859,106469,108740,215209,13.67,..,..,86.33,..,..
1974,YR1974,Ireland,IRL,..,3.59,..,..,73.84,68.638,476042,499255,142960,137283,118683,123762,106843,110858,80893,84959,76086,78358,72601,75565,77210,75359,81293,81208,74607,74428,73241,74515,10.8841568844202,187543,153947,1562325,1575174,3137500,46.706,..,..,53.294,..,..
1974,YR1974,Israel,ISR,..,3.626,..,..,73.27,70.13,539968,563583,167224,158748,159619,164639,137129,138525,91650,91448,85629,84267,84293,78932,84816,74022,78691,73026,65700,60579,70230,63130,7.73325338304296,134049,127103,1690521,1686478,3377000,13.776,..,..,86.224,..,..
1974,YR1974,Italy,ITA,..,2.28,..,..,75.91,69.71,6575389,6911809,2021328,1958937,1881307,1913280,1929663,1898430,1829654,1772674,1899460,1827290,1870994,1801079,1860135,1766377,1807348,1622146,1249894,1102588,1599469,1406983,11.9842697851301,3857199,2747436,28319449,26791418,55110868,34.558,..,..,65.442,..,..
1974,YR1974,Japan,JPN,..,2.05,..,..,76.33,72.55,12837335,13451598,4025186,3901026,4740589,4824432,5133220,5253861,4668934,4726532,4166233,4224282,4013388,4057758,3621105,3537362,3064398,2458913,2530686,2059378,2290777,1915955,7.860290037295,4900913,3758140,55868603,54293397,110162000,25.025,..,..,74.975,..,..
1974,YR1974,"Korea, Rep.",KOR,..,3.77,..,..,67.8,60,6639589,7100031,2058929,1945241,1415958,1498900,1194046,1269505,1123877,1173895,1061760,1099414,881218,820062,724326,634881,605971,575343,479065,428819,384099,314253,3.64082418532307,780367,482718,17235516,17456750,34692266,53.421,..,..,46.579,..,..
1974,YR1974,Latvia,LVA,..,1.97,..,..,74.74,64.98,252430,258207,93066,87879,88425,95079,84626,85477,92376,91302,99075,94031,92460,85551,99737,74757,81682,50144,60123,38873,75192,46897,12.7112331992702,206867,102929,1320872,1116313,2437186,36.516,..,..,63.484,..,..
1974,YR1974,Lithuania,LTU,..,2.21,..,..,75.69,67.01,413433,420863,140140,131796,118448,123686,113519,113653,120402,118780,124306,114621,124426,111104,120102,93837,94812,67043,65513,43629,80501,50220,11.2727894822073,223688,145371,1730945,1542949,3273894,45.549,..,..,54.451,..,..
1974,YR1974,Luxembourg,LUX,..,1.58,..,..,73.846,66.644,36171,37926,13764,13244,13061,13490,12132,13296,11645,12662,11650,12586,12255,13186,12258,12225,11407,9365,8702,8021,10591,9120,13.038900130056,27372,18923,180488,174562,355050,23.283,..,..,76.717,..,..
1974,YR1974,Mexico,MEX,..,6.004,..,..,65.288,59.816,13159413,13367822,3047669,3060914,2459458,2482597,1957134,1966295,1616119,1597487,1328650,1317760,1144444,1074992,956759,912883,752309,736558,586935,568474,491363,461108,3.33428596296794,992869,905870,28506368,28439513,56945880,37.978,..,..,62.022,..,..
1974,YR1974,Netherlands,NLD,..,1.77,..,..,77.61,71.61,1714340,1795279,589578,564491,551328,576131,562971,600273,428790,467546,384494,412704,380811,393249,374510,366275,376589,357059,320789,297166,313292,274675,10.6512414114726,825631,617085,6798034,6747021,13545056,37.133,..,..,62.867,..,..
