Time,Country Code,Value,Women's share of population ages 15+ living with HIV (%) ,"Employers, female (% of female employment) (modeled ILO estimate) ","Self-employed, male (% of male employment) (modeled ILO estimate) ","Self-employed, total (% of total employment) (modeled ILO estimate) ","Labor force with intermediate education, female (% of female working-age population with intermediate education) ",Agricultural land (% of land area),"Government expenditure on education, total (% of GDP) ","Female share of graduates in Arts and Humanities programmes, tertiary (%) ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) ",Adjusted savings: natural resources depletion (% of GNI),Scientific and technical journal articles,Female share of employment in senior and middle management (%) 
2017,POL,50.0,21.6,2.49000000953674,23.8999996185303,20.4200000762939,48.2099990844727,47.2321107808877,4.5584602355957,75.20703,69.85,0.240568821371575,33576.35,38.2000007629395
2018,POL,49.0,21.1,2.71000003814697,23.7000007629395,20.2700004577637,47.2200012207031,47.39850409903,4.61579990386963,55.15012,70.41,0.283466956224099,34972.82,39.5
2018,POL,11.0,21.1,2.71000003814697,23.7000007629395,20.2700004577637,47.2200012207031,47.39850409903,4.61579990386963,55.15012,70.41,0.283466956224099,34972.82,39.5
2019,POL,49.0,20.5,2.70000004768372,23.4699993133545,20.0100002288818,45.8300018310547,47.4437293783281,4.6692099571228,55.15012,70.85,0.180124336724235,34816.33,41.2000007629395
2020,POL,8.0,19.9,1.70000004768372,13.8599996566772,7.01999998092651,44.560001373291,47.238101460164,5.19000005722046,55.15012,71.93,0.1117856615611,36766.63,41.4000015258789
2021,POL,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2000,DNK,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2001,DNK,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2002,DNK,10.0,26.1,1.76999998092651,12.0900001525879,8.86999988555908,73.0400009155273,66.625,8.2130298614502,68.6243,79.82,0.993663713452861,7190.23,18.0
2003,DNK,9.0,26.2,2.01999998092651,12.039999961853,9.13000011444092,71.2600021362305,66.45,8.12193012237549,66.74641,79.18,0.924501128257662,7483.65,20.0
2003,DNK,9.0,26.2,2.01999998092651,12.039999961853,9.13000011444092,71.2600021362305,66.45,8.12193012237549,66.74641,79.18,0.924501128257662,7483.65,20.0
2004,DNK,6.0,26.3,1.29999995231628,11.9099998474121,8.77000045776367,70.3399963378906,66.15,8.2076301574707,67.31407,79.98,1.10381722943691,7880.22,18.8999996185303
2004,DNK,10.0,26.3,1.29999995231628,11.9099998474121,8.77000045776367,70.3399963378906,66.15,8.2076301574707,67.31407,79.98,1.10381722943691,7880.22,18.8999996185303
2005,DNK,12.0,26.3,1.29999995231628,11.9200000762939,8.89000034332275,71.0999984741211,67.675,8.08557033538818,66.00596,79.7,1.45107255630013,8399.92,20.6000003814697
2005,DNK,10.0,26.3,1.29999995231628,11.9200000762939,8.89000034332275,71.0999984741211,67.675,8.08557033538818,66.00596,79.7,1.45107255630013,8399.92,20.6000003814697
2006,DNK,12.0,26.3,1.78999996185303,11.9099998474121,9.0600004196167,67.4499969482422,67.75,7.72990989685059,65.06776,80.52,1.52770334541223,8612.3,19.2000007629395
2006,DNK,10.0,26.3,1.78999996185303,11.9099998474121,9.0600004196167,67.4499969482422,67.75,7.72990989685059,65.06776,80.52,1.52770334541223,8612.3,19.2000007629395
2007,DNK,17.0,26.3,1.6599999666214,12.2600002288818,9.01000022888184,71.7799987792969,66.575,7.61560010910034,65.45748,80.23,1.35721055083118,8966.09,25.2999992370605
2007,DNK,9.0,26.3,1.6599999666214,12.2600002288818,9.01000022888184,71.7799987792969,66.575,7.61560010910034,65.45748,80.23,1.35721055083118,8966.09,25.2999992370605
2008,DNK,11.0,26.2,1.75,12.6000003814697,9.17000007629395,68.620002746582,66.7,7.47604990005493,65.84839,79.45,1.8417404976907,9264.81,18.2999992370605
2008,DNK,10.0,26.2,1.75,12.6000003814697,9.17000007629395,68.620002746582,66.7,7.47604990005493,65.84839,79.45,1.8417404976907,9264.81,18.2999992370605
